code;Question;Question Statement;Marks;Answer;Topic
0478_m19_qp_12;1(a);Elle has a file stored on her computer that is 20 MB in size. Jordan has a file that is 10 GB in size. Tick (3) to show which is the larger file. File size Tick (3) 20 MB 10 GB [1];9;10 GB;Data representation
0478_m19_qp_12;1(b);Bob has a file stored on his computer that is 3500 kB in size. Gerty has a file that is 3 MB in size. Tick (3) to show which is the larger file. File size Tick (3) 3500 kB 3 MB [1];9;3500 kB;Data representation
0478_m19_qp_12;2(a)(i);State what is meant by an input device.;1;A device that allows data to be entered into a computer system.;Hardware
0478_m19_qp_12;2(a)(ii);Give an example of an input device.;1;One from e.g.: Keyboard, Mouse, Microphone, Sensor, Touch screen.;Hardware
0478_m19_qp_12;2(b)(i);State what is meant by an output device.;1;A device that allows the user to view/hear the data that has been entered into a computer system.;Hardware
0478_m19_qp_12;2(b)(ii);Give an example of an output device.;1;One from e.g.: Monitor, Speaker, Headphones, Printer.;Hardware
0478_m19_qp_12;3(a)(i);The screen currently displays: 0 0 3 9 State the binary value that is currently stored to display the count shown.;2;100111;Data representation
0478_m19_qp_12;3(a)(ii);The screen now displays: 0 3 5 0 State the binary value that is currently stored to display the count shown.;2;101011110;Data representation
0478_m19_qp_12;3(a)(iii);At the end of the race, the binary value stored is: 011011000111 Give the denary value that would be displayed on the screen at the end of the race. Show your working.;2;1735 (1024 + 512 + 128 + 64 + 4 + 2 + 1);Data representation
0478_m19_qp_12;3(b)(i);Identify two different sensors that could be used to identify the number of competitors.;2;Two from: Pressure sensor, Light sensor, Motion sensor, Magnetic field.;Automated and emerging technologies
0478_m19_qp_12;3(b)(ii);Explain how the sensor and the microprocessor are used.;6;Sensor sends a signal to the microprocessor. Signal is analogue and is converted to digital (using ADC). Data is compared to stored value. If data does not match or is out of range, a signal is detected, and the counter is incremented by 1. This is a continuous process.;Automated and emerging technologies
0478_m19_qp_12;4(a);Explain why Darius chooses to write the program in a high-level language.;2;Closer to English statements, easier/quicker to write/read/understand/remember, easier/quicker to debug, less likely to make errors, one line of code can carry out multiple commands, portable language.;Software
0478_m19_qp_12;4(b);Tick (3) to show if the statement applies to a Compiler or an Interpreter.;5;A report of errors is produced at the end of translation (Compiler), The program is translated one line at a time (Interpreter), The program is translated from high-level language into machine code (Compiler), An executable file is produced (Compiler), The program will not run at all if an error is detected (Compiler);Software
0478_m19_qp_12;4(c);Explain why Selma tells Darius to use lossless compression instead of lossy.;4;Lossy compression would remove data, lossless compression does not remove data (no data can be lost), can be restored to the original state, otherwise will not run/work correctly.;Data representation
0478_m19_qp_12;4(d)(i);Explain how parity check is used in data transmission.;5;Sending device creates a value from calculation on data, value is transmitted with the data, receiving device performs the same calculation, values are compared after transmission, if values do not match, an error is detected.;Data transmission
0478_m19_qp_12;4(d)(ii);Give two examples of methods used in data transmission to check for errors.;3;Two from: Parity check, Check digit, Automatic repeat request.;Data transmission
0478_m19_qp_12;5(a);Draw the logic gate circuit for the given expression.;6;[Logic Gate Circuit Image Link];Hardware
0478_m19_qp_12;5(b);Complete the truth table for the given circuit.;4;Refer to the marking scheme for the complete truth table.;Hardware
0478_m19_qp_12;6(a);Give one example where parallel data transmission is used.;1;USB (Universal Serial Bus).;Data transmission
