Paper Code;Question Number;Question Statement;Mark;Answer;Topic
0417_m21_qp_12;1;Tick (✓) whether the following are examples of internal or external hardware devices.;2;external (✓) internal (✓);Types and components of computer systems
0417_m21_qp_12;2;Geeta spends a great deal of time at work entering data into her computer. State three items of hardware that Geeta should be provided with to help avoid RSI when she enters data into the computer.;3;1, Mouse; Types and components of computer systems
0417_m21_qp_12;3;Falyaz has created a diary using word processing software. Write down four formatting features of the word processing software used to make this diary entry.;4;1, Bold; ICT applications
0417_m21_qp_12;3b;The original diary entry typed into the word processing software did not include an image. Describe the steps that would be carried out by Falyaz to include in his diary entry an image taken from his digital camera.;6;1, Open the word processing software, 2, Insert, 3, Picture, 4, Select image from digital camera; ICT applications
0417_m21_qp_12;3c;Name two other sources of digital images apart from using a digital camera.;2;1, Internet, 2, Scanner; ICT applications
0417_m21_qp_12;4d;Tick (✓) whether the following statements about generic image files refer to jpg, png or gif file types.;4;gif (✓) png (✓) jpg (✓); ICT applications
0417_m21_qp_12;4e;Falyaz wants to add a header in his word-processed diary. Explain what is meant by a header and why it is needed.;4;1, Header is an area of a document on every page, 2, To show consistency on each page; ICT applications
0417_m21_qp_12;6;The table shows a comparison of two different types of fitness tracker. Describe how you would use six different design features to enhance the data in this poster. The poster must be suitable for an audience of adult customers.;6;1, Use of contrasting colors, 2, Clear fonts, 3, Use of borders, 4, Data in comparison table/chart, 5, More text than images, 6, Poster fills the page; ICT applications
0417_m21_qp_12;7a;Discuss the benefits and drawbacks, to the pupils, of using a contactless card system rather than paying by cash.;6;1, Fast throughput of pupils at the tills, 2, Card needs topping up regularly; Audiences
0417_m21_qp_12;7b;Describe the computer processing that takes place to pay for a meal at the EFTPOS terminal using the card.;6;1, The cost of the meal is totaled, 2, The amount of money on the card is checked; Audiences
0417_m21_qp_12;9a;Describe the inputs and computer processing of the registers when they are sent to the school office, prior to them being stored on the computer’s database.;6;1, OMR sheets are scanned in using an optical mark reader, 2, Data is sent to the computer; Audiences
0417_m21_qp_12;9b;Discuss the advantages and disadvantages of using a facial recognition registration system rather than the OMR system they currently use.;8;1, Faces are unique therefore greater security, 2, Time-consuming to set up all the pupils; Audiences
0417_m21_qp_12;9c;Give two other examples of personal data that could be stored on the school registration database.;2;1, Address, 2, Email address; Audiences
0417_m21_qp_12;10a;Explain what is meant by the cloud, giving two advantages of storing data in the cloud compared with physical storage devices.;4;1, Data is stored on offsite servers, 2, The cloud has greater storage capacity than other methods; Networks and the effects of using them
0417_m21_qp_12;10b;Tick (✓) whether the following storage devices are examples of optical, magnetic, or solid-state storage.;4;solid state (✓) magnetic (✓) optical (✓); Storage devices and media
0417_m21_qp_12;11;Before the overall score is calculated, the judges’ scores need to be sorted into ascending order. Describe the steps that would be carried out to sort the data into ascending order.;3;1, Highlight cells A4 to B10, 2, Click on the down arrow, 3, Click on Custom Sort; Communication
0417_m21_qp_12;12b;Explain what the formula in cell B12 does.;3;1, Totals cells B5 to B9, 2, Multiplies by cell D1/difficulty/3.4; Communication
0417_m21_qp_12;12c;Explain, giving examples of test data which would be used, what is meant by: Abnormal test data, Extreme test data.;4;1, Data that is outside the range, Example: greater than 10; Communication
0417_m21_qp_12;13a;Tawara school uses an optical mark recognition (OMR) system for its school register. Describe the inputs and computer processing of the registers when they are sent to the school office, prior to them being stored on the computer’s database.;6;1, OMR sheets are scanned in using an optical mark reader, 2, Data is sent to the computer; Communication
0417_m21_qp_12;14b;Discuss the advantages and disadvantages of using a facial recognition registration system rather than the OMR system they currently use.;8;1, Faces are unique therefore greater security, 2, Time-consuming to set up all the pupils; Communication
0417_m21_qp_12;15c;Give two other examples of personal data that could be stored on the school registration database.;2;1, Name, 2, Gender; Communication
0417_m21_qp_12;16a;Explain what is meant by the cloud, giving two advantages of storing data in the cloud compared with physical storage devices.;4;1, Data is stored on offsite servers, 2, The cloud has greater storage capacity than other methods; Communication
0417_m21_qp_12;16b;Tick (✓) whether the following storage devices are examples of optical, magnetic, or solid-state storage.;4;solid state (✓) magnetic (✓) optical (✓); Communication
0417_m21_qp_12;17;The owner of a bookshop has a database of all the books she has in stock. As some of the data is being;6;1, Monitors traffic into and out of the network to make sure that all data passing is safe, 2, Checks whether the data passing through it meets a given set of rules; Safety and Security

Code;Question Number;Question Statement;Mark;Answer;Topic
0417_m22_qp_12;1(a);Define the term hardware.;1;The physical components of a computer system.;Types and components of computer systems
0417_m22_qp_12;1(b);Name two other input devices built into a tablet computer.;2;1. [Touch screen], 2. [Example: Camera];Input and Output devices
0417_m22_qp_12;1(c);Write down two examples of system software.;2;1. [Operating system], 2. [Utilities];ICT applications
0417_m22_qp_12;1(d);Circle two items that contain personal data.;2;1. [Bank card], 2. [Medical record];Safety and Security
0417_m22_qp_12;2(a);Describe the terms ROM and RAM.;4;ROM: [Read-Only Memory, Non-volatile, Stores permanent data], RAM: [Random Access Memory, Volatile, Temporary storage];Types and components of computer systems
0417_m22_qp_12;2(b);State three advantages of using SSDs rather than HDDs in a laptop computer.;3;1. [Faster data access], 2. [Lighter and more durable], 3. [Lower power consumption];Storage devices and media
0417_m22_qp_12;3;Tick whether the following statements refer to control, measurement or modelling systems.;4;1. [Control: Maintaining the growing conditions in a glasshouse], 2. [Modelling: Aircraft flight simulation], 3. [Measurement: Monitoring the pollution in a river], 4. [Modelling: Using what-ifs];System Life Cycle
0417_m22_qp_12;4(a);Explain the differences between the WWW and the internet.;4;The internet is the infrastructure, the physical network of computers globally connected, while the WWW is a collection of interconnected documents accessed via the internet.;Networks and the effects of using them
0417_m22_qp_12;4(b);Describe the following parts of the web address: https://www.cambridgeinternational.org/IGCSE;4;1. [https:// - Hypertext Transfer Protocol Secure], 2. [www.cambridgeinternational - Domain name], 3. [.org - Top-Level Domain], 4. [/IGCSE - Path or specific resource];Networks and the effects of using them
0417_m22_qp_12;5(a);Describe how GPS is used by a smartphone to pinpoint its location.;4;Using signals from satellites, the smartphone calculates its distance to multiple satellites to determine its precise location on Earth.;Networks and the effects of using them
